k,Precision@K,Recall@K,F1@K,NDCG@K,HitRate@K,MAP@K,MRR@K,ILD@K,Coverage,Users_evaluated
5,0.1245,0.10713905983207674,0.09477943013920336,0.12817593847708902,0.675,0.05153153344671201,0.20820238095238097,0.7977957231040564,0.18527607361963191,200
10,0.077,0.07886995205070643,0.06267936961179928,0.0879483838975926,0.515,0.03528072562358277,0.16167460317460317,0.795820238095238,0.20337423312883435,200
20,0.048,0.0390937996055283,0.034158251115272605,0.04971710337831107,0.345,0.018391005291005288,0.0913095238095238,0.796489417989418,0.2361963190184049,200
30,0.034,0.02169356212026003,0.020590804023487633,0.034270223640151566,0.25,0.012525113378684808,0.06415873015873015,0.7820005291005291,0.25153374233128833,200
50,0.026500000000000003,0.019414398000595145,0.01741082532408951,0.02630436863654419,0.21,0.008555114638447972,0.05194246031746031,0.7726566137566138,0.26319018404907973,200
