alpha,Precision@K,Recall@K,F1@K,NDCG@K,HitRate@K,MAP@K,MRR@K,ILD@K,Coverage,Users_evaluated
0.0,0.0085,0.008312099700526812,0.0065217973558816976,0.00860001258631973,0.08,0.0025454931972789118,0.015871031746031744,0.7104671957671959,0.4107361963190184,200
0.2,0.01,0.01145424123752223,0.007751213072689427,0.013495556547392254,0.095,0.00620925925925926,0.028597222222222225,0.7568216931216932,0.32331288343558284,200
0.4,0.013999999999999999,0.014772829590757687,0.010574847040086967,0.017861432076063846,0.13,0.00864484126984127,0.03383730158730159,0.758623544973545,0.3024539877300613,200
0.5,0.015,0.015280733602795605,0.011052834342326562,0.01885595909683237,0.125,0.009146230158730157,0.0343531746031746,0.7610359788359788,0.28957055214723926,200
0.6,0.017,0.018975184906258536,0.013087570141711446,0.01823966034161831,0.145,0.005731547619047619,0.035041666666666665,0.7713399470899472,0.28067484662576686,200
0.8,0.015,0.010004480834972568,0.010180302854792912,0.015066244271925083,0.13,0.004674801587301588,0.03545436507936508,0.7704838624338625,0.27883435582822086,200
1.0,0.01,0.00631092960953454,0.0068092923225093705,0.008408355415277236,0.09,0.0021009920634920635,0.017248015873015873,0.7758939153439154,0.30920245398773005,200
