top_x,Precision@K,Recall@K,F1@K,NDCG@K,HitRate@K,MAP@K,MRR@K,ILD@K,Coverage,Users_evaluated
3,0.01833333333333333,0.0036415121077575086,0.005141979950563809,0.016536063698862173,0.055,0.009444444444444445,0.028333333333333332,0.7504285714285714,0.13466257668711656,200
5,0.025,0.006459972844824363,0.008762253586065449,0.021783672211340165,0.105,0.010049999999999998,0.03933333333333334,0.7700702380952381,0.18496932515337422,200
10,0.026500000000000003,0.019414398000595145,0.01741082532408951,0.02630436863654419,0.21,0.008555114638447972,0.05194246031746031,0.7726566137566138,0.26319018404907973,200
15,0.03266666666666666,0.0354145146097455,0.026100735003591162,0.03440589738276517,0.31,0.009480755201588536,0.05979760517260517,0.7809966553287983,0.31257668711656444,200
20,0.03475,0.04961816370879447,0.03225344876684832,0.04014844602554788,0.385,0.009837553483238469,0.06402539585027975,0.787823872180451,0.34570552147239264,200
30,0.04116666666666667,0.08537391925637836,0.04579090911841428,0.05510804440214089,0.55,0.011606885726761409,0.0707031764890424,0.793641379310345,0.3929447852760736,200
