,Precision@K,Recall@K,F1@K,NDCG@K,HitRate@K,MAP@K,MRR@K,ILD@K,Coverage,Users_evaluated
User-Based,0.0438,0.03028497871126483,0.02916141182560998,0.05928353225387383,0.294,0.0267521485260771,0.15520952380952382,0.801499065255732,0.45245398773006135,500.0
Item-Based,0.011800000000000001,0.008410303137831676,0.008469526130989157,0.013755908368762646,0.102,0.004865522486772487,0.037531746031746034,0.6846800352733686,0.48773006134969327,500.0
Hybrid,0.027200000000000002,0.01712403399625061,0.01712309677549727,0.02613868252377227,0.222,0.00809690980095742,0.05576111111111111,0.7684516931216931,0.400920245398773,500.0
