boost,Precision@K,Recall@K,F1@K,NDCG@K,HitRate@K,MAP@K,MRR@K,ILD@K,Coverage,Users_evaluated
1.0,0.026500000000000003,0.019414398000595145,0.01741082532408951,0.02630436863654419,0.21,0.008555114638447972,0.05194246031746031,0.7727584656084656,0.2634969325153374,200
1.1,0.026500000000000003,0.019414398000595145,0.01741082532408951,0.02630436863654419,0.21,0.008555114638447972,0.05194246031746031,0.7726566137566138,0.26319018404907973,200
1.2,0.026500000000000003,0.019414398000595145,0.01741082532408951,0.02630436863654419,0.21,0.008555114638447972,0.05194246031746031,0.7726566137566138,0.26319018404907973,200
1.3,0.026500000000000003,0.019414398000595145,0.01741082532408951,0.02630436863654419,0.21,0.008555114638447972,0.05194246031746031,0.7726566137566138,0.26319018404907973,200
1.5,0.026500000000000003,0.019414398000595145,0.01741082532408951,0.02630436863654419,0.21,0.008555114638447972,0.05194246031746031,0.7726566137566138,0.26319018404907973,200
2.0,0.026500000000000003,0.019414398000595145,0.01741082532408951,0.02630436863654419,0.21,0.008555114638447972,0.05194246031746031,0.7726566137566138,0.26319018404907973,200
