test_size,Precision@K,Recall@K,F1@K,NDCG@K,HitRate@K,MAP@K,MRR@K,ILD@K,Coverage,Users_evaluated
0.1,0.01866666666666667,0.01701180832534216,0.01579560328056493,0.018791525331187938,0.15333333333333332,0.005695767195767196,0.042050264550264546,0.7802686067019401,0.2233128834355828,150
0.2,0.029333333333333336,0.02136706832015497,0.01888756580282994,0.029714974036669464,0.22,0.010021898883009995,0.0593121693121693,0.7719552028218696,0.22791411042944784,150
0.3,0.03733333333333333,0.016604923041302774,0.017922275252592594,0.03734708617499002,0.26,0.013466830435878057,0.0801957671957672,0.7721587301587302,0.23159509202453987,150
0.4,0.04666666666666667,0.014973535118930056,0.019291937401790814,0.045845154973268264,0.30666666666666664,0.01638095238095238,0.1087116402116402,0.7821848324514992,0.23957055214723927,150
