,Precision@K,Recall@K,F1@K,NDCG@K,HitRate@K,MAP@K,MRR@K,ILD@K,Coverage,Users_evaluated
UB only (a=1.0),0.027999999999999997,0.01330805332239413,0.015871308426290042,0.028491952691372974,0.175,0.010759391534391533,0.06365674603174604,0.7986579805996473,0.2920245398773006,200.0
IB only (a=0.0),0.0075,0.008474386269508114,0.005871345711333857,0.007385179739201453,0.07,0.0019650793650793654,0.012359126984126983,0.7703634920634922,0.27423312883435585,200.0
Blend (a=0.5),0.025,0.022489435585023917,0.017070979670152947,0.026875860897870762,0.185,0.011343452380952383,0.04347619047619048,0.772478835978836,0.2647239263803681,200.0
Blend+boost,0.025,0.022489435585023917,0.017070979670152947,0.026875860897870762,0.185,0.011343452380952383,0.04347619047619048,0.772478835978836,0.2647239263803681,200.0
Blend+boost+pop,0.015,0.015280733602795605,0.011052834342326562,0.01885595909683237,0.125,0.009146230158730157,0.0343531746031746,0.7610359788359788,0.28957055214723926,200.0
Full hybrid,0.0175,0.019720099517612454,0.013865842386877304,0.020624162336665645,0.14,0.008636309523809525,0.03570039682539682,0.8357690476190477,0.2757668711656442,200.0
