model,Precision@K,Recall@K,NDCG@K,MRR@K
raw,0.1665,0.008704377351180953,0.1653960963827945,0.2801666666666667
content,0.16950000000000004,0.009128806650533753,0.16741239785501777,0.2812321428571429
svd_20,0.161,0.009698412097433646,0.16570475617116082,0.3071904761904762
svd_50,0.159,0.008728322609782586,0.1638542670346318,0.3038293650793651
svd_100,0.16,0.008769249882048028,0.16462220157088836,0.3020714285714286
hybrid_svd_first,0.44,0.03610400025313766,0.44622977804046704,0.5876507936507935
hybrid_content_first,0.23800000000000002,0.015820750560471452,0.248047004898992,0.4246785714285714
combined,0.16,0.00951614882146508,0.1645177995368114,0.30079563492063494
